sample,run_accession,fastq_1,fastq_2
SRR3331595,SRR3331595,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR333/005/SRR3331595/SRR3331595_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR333/005/SRR3331595/SRR3331595_2.fastq.gz
SRR3331596,SRR3331596,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR333/006/SRR3331596/SRR3331596_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR333/006/SRR3331596/SRR3331596_2.fastq.gz
SRR3331597,SRR3331597,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR333/007/SRR3331597/SRR3331597_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR333/007/SRR3331597/SRR3331597_2.fastq.gz
SRR10435311,SRR10435311,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/011/SRR10435311/SRR10435311_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/011/SRR10435311/SRR10435311_2.fastq.gz
SRR10435315,SRR10435315,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/015/SRR10435315/SRR10435315_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/015/SRR10435315/SRR10435315_2.fastq.gz
SRR10435321,SRR10435321,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/021/SRR10435321/SRR10435321_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/021/SRR10435321/SRR10435321_2.fastq.gz
SRR5760144,SRR5760144,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/004/SRR5760144/SRR5760144_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/004/SRR5760144/SRR5760144_2.fastq.gz
SRR5760145,SRR5760145,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/005/SRR5760145/SRR5760145_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/005/SRR5760145/SRR5760145_2.fastq.gz
SRR5760152,SRR5760152,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/002/SRR5760152/SRR5760152_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/002/SRR5760152/SRR5760152_2.fastq.gz
SRR5760153,SRR5760153,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/003/SRR5760153/SRR5760153_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/003/SRR5760153/SRR5760153_2.fastq.gz
SRR1017093,SRR1017093,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/003/SRR1017093/SRR1017093_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/003/SRR1017093/SRR1017093_2.fastq.gz
SRR1796613,SRR1796613,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/003/SRR1796613/SRR1796613_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/003/SRR1796613/SRR1796613_2.fastq.gz
SRR1796618,SRR1796618,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/008/SRR1796618/SRR1796618_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/008/SRR1796618/SRR1796618_2.fastq.gz
SRR1796619,SRR1796619,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/009/SRR1796619/SRR1796619_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/009/SRR1796619/SRR1796619_2.fastq.gz
SRR8695866,SRR8695866,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR869/006/SRR8695866/SRR8695866_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR869/006/SRR8695866/SRR8695866_2.fastq.gz
SRR8695867,SRR8695867,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR869/007/SRR8695867/SRR8695867_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR869/007/SRR8695867/SRR8695867_2.fastq.gz
