sample,run_accession,fastq_1,fastq_2
SRR13252792,SRR13252792,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/092/SRR13252792/SRR13252792_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/092/SRR13252792/SRR13252792_2.fastq.gz
SRR13252793,SRR13252793,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/093/SRR13252793/SRR13252793_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/093/SRR13252793/SRR13252793_2.fastq.gz
SRR13252790,SRR13252790,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/090/SRR13252790/SRR13252790_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/090/SRR13252790/SRR13252790_2.fastq.gz
SRR13252788,SRR13252788,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/088/SRR13252788/SRR13252788_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/088/SRR13252788/SRR13252788_2.fastq.gz
SRR13252791,SRR13252791,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/091/SRR13252791/SRR13252791_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/091/SRR13252791/SRR13252791_2.fastq.gz
SRR13252789,SRR13252789,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/089/SRR13252789/SRR13252789_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/089/SRR13252789/SRR13252789_2.fastq.gz
SRR14009144,SRR14009144,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/044/SRR14009144/SRR14009144_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/044/SRR14009144/SRR14009144_2.fastq.gz
SRR14009146,SRR14009146,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/046/SRR14009146/SRR14009146_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/046/SRR14009146/SRR14009146_2.fastq.gz
SRR14009145,SRR14009145,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/045/SRR14009145/SRR14009145_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/045/SRR14009145/SRR14009145_2.fastq.gz
SRR14008836,SRR14008836,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/036/SRR14008836/SRR14008836_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR140/036/SRR14008836/SRR14008836_2.fastq.gz
SRR14480021,SRR14480021,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/021/SRR14480021/SRR14480021_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/021/SRR14480021/SRR14480021_2.fastq.gz
SRR14479994,SRR14479994,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/094/SRR14479994/SRR14479994_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/094/SRR14479994/SRR14479994_2.fastq.gz
SRR4187479,SRR4187479,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR418/009/SRR4187479/SRR4187479_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR418/009/SRR4187479/SRR4187479_2.fastq.gz
SRR4187467,SRR4187467,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR418/007/SRR4187467/SRR4187467_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR418/007/SRR4187467/SRR4187467_2.fastq.gz
SRR8750549,SRR8750549,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR875/009/SRR8750549/SRR8750549_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR875/009/SRR8750549/SRR8750549_2.fastq.gz
SRR30868259,SRR30868259,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/059/SRR30868259/SRR30868259_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/059/SRR30868259/SRR30868259_2.fastq.gz
SRR31038857,SRR31038857,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/057/SRR31038857/SRR31038857_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/057/SRR31038857/SRR31038857_2.fastq.gz
SRR6389739,SRR6389739,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR638/009/SRR6389739/SRR6389739_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR638/009/SRR6389739/SRR6389739_2.fastq.gz
SRR6389733,SRR6389733,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR638/003/SRR6389733/SRR6389733_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR638/003/SRR6389733/SRR6389733_2.fastq.gz
